Artist,Album,Track,Plays,Percentage
Arctic Monkeys,The Car,There'd Better Be A Mirrorball,74266995,24.33
Arctic Monkeys,The Car,I Ain't Quite Where I Think I Am,31858168,10.44
Arctic Monkeys,The Car,Sculptures Of Anything Goes,33294734,10.91
Arctic Monkeys,The Car,Jet Skis On The Moat,19789827,6.48
Arctic Monkeys,The Car,Body Paint,59078251,19.36
Arctic Monkeys,The Car,The Car,17577497,5.76
Arctic Monkeys,The Car,Big Ideas,20682722,6.78
Arctic Monkeys,The Car,Hello You,19890340,6.52
Arctic Monkeys,The Car,Mr Schwartz,14349930,4.7
Arctic Monkeys,The Car,Perfect Sense,14443795,4.73
Arctic Monkeys,Tranquility Base Hotel & Casino,Star Treatment,75687670,12.86
Arctic Monkeys,Tranquility Base Hotel & Casino,One Point Perspective,71194986,12.1
Arctic Monkeys,Tranquility Base Hotel & Casino,American Sports,36643761,6.23
Arctic Monkeys,Tranquility Base Hotel & Casino,Tranquility Base Hotel & Casino,78759428,13.38
Arctic Monkeys,Tranquility Base Hotel & Casino,Golden Trunks,36442926,6.19
Arctic Monkeys,Tranquility Base Hotel & Casino,Four Out Of Five,121950851,20.72
Arctic Monkeys,Tranquility Base Hotel & Casino,The World's First Ever Monster Truck Front Flip,29303505,4.98
Arctic Monkeys,Tranquility Base Hotel & Casino,Science Fiction,28175857,4.79
Arctic Monkeys,Tranquility Base Hotel & Casino,She Looks Like Fun,29604908,5.03
Arctic Monkeys,Tranquility Base Hotel & Casino,Batphone,30968933,5.26
Arctic Monkeys,Tranquility Base Hotel & Casino,The Ultracheese,49887289,8.48
Arctic Monkeys,AM,Do I Wanna Know?,1864498773,24.54
Arctic Monkeys,AM,R U Mine?,887227902,11.68
Arctic Monkeys,AM,One For The Road,213897761,2.82
Arctic Monkeys,AM,Arabella,482822596,6.36
Arctic Monkeys,AM,I Want It All,122227290,1.61
Arctic Monkeys,AM,No. 1 Party Anthem,193649176,2.55
Arctic Monkeys,AM,Mad Sounds,115914414,1.53
Arctic Monkeys,AM,Fireside,133828080,1.76
Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,1345434951,17.71
Arctic Monkeys,AM,Snap Out Of It,469859496,6.19
Arctic Monkeys,AM,Knee Socks,309434329,4.07
Arctic Monkeys,AM,I Wanna Be Yours,1457817225,19.19
Arctic Monkeys,Humbug,My Propeller,73912862,11.46
Arctic Monkeys,Humbug,Crying Lightning,172769246,26.79
Arctic Monkeys,Humbug,Dangerous Animals,39910045,6.19
Arctic Monkeys,Humbug,Secret Door,62948389,9.76
Arctic Monkeys,Humbug,Potion Approaching,26341934,4.08
Arctic Monkeys,Humbug,Fire And The Thud,25583436,3.97
Arctic Monkeys,Humbug,Cornerstone,129235472,20.04
Arctic Monkeys,Humbug,Dance Little Liar,42210206,6.54
Arctic Monkeys,Humbug,Pretty Visitors,47235105,7.32
Arctic Monkeys,Humbug,The Jeweller's Hands,24805665,3.85
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Brianstorm,207543343,6.63
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Teddy Picker,194861761,6.23
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),D Is for Dangerous,73172603,2.34
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Balaclava,73481084,2.35
