Artist,Artist ID,Album,Album ID
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,The Car,2GROf0WKoP5Er2M9RXVNNs
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Tranquility Base Hotel & Casino,1jeMiSeSnNS0Oys375qegp
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,AM,78bpIziExqiI9qztvNFlQu
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Humbug,5IEoiwkThhRmSMBANhpxl2
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Favourite Worst Nightmare (Standard Version),6rsQnwaoJHxXJRCDBPkBRw
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1
Ashe,6P5NO5hzJbuOqSdyPB7SJM,Rae,129Aqm83Kqbq7E3xjW4Pww
Ashe,6P5NO5hzJbuOqSdyPB7SJM,Ashlyn,5eCmZVM5Kspu2B1cyVdSqq
The Backseat Lovers,6p2HnfM955TI1bX34dkLnI,Waiting to Spill,2Gb2plO2TkNRIgoCuJGm7C
The Backseat Lovers,6p2HnfM955TI1bX34dkLnI,When We Were Friends,3TSMSh5dai7WEnEGOoMXBZ
The Backseat Lovers,6p2HnfM955TI1bX34dkLnI,Elevator Days,36zGKA55rGfgPUHxZpCQLW
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,Emotional Creature,3H6pbRzmpQa6eqCXn7rgO8
BETWEEN FRIENDS,2HkSsS8O2U2gPhnCGVN5vn,"I Love My Girl, She's My Boy",6xAbweCyvExMjOQmOl194h
BETWEEN FRIENDS,2HkSsS8O2U2gPhnCGVN5vn,CUTiE,5bH4FxZ9Ujp27RWl44hISH
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,0JGOiO34nwfUdDrD612dOp
Breakup Shoes,3kE0TeA4n6FZD1UG6ctB0m,The Death Of Everything Worrisome,1TkwazM0H8AHL8xGJfeYTf
Breakup Shoes,3kE0TeA4n6FZD1UG6ctB0m,"So Money, Baby",0rtilDCk6D85i87bmAHDNW
